,Description,Price,Unit
647,"B54SH-120HDG Strut, 13/16-IN. X 1 5/8-IN., 9/16-IN. X 7/8-IN. SLOTTED HOLES, 14 GA., 120-IN",42.34,FT
648,A12P-G PVC CTD STND PUNCH STRUT STRUT GRY,67.43,FT
649,B1200HS-10 HS STRUT 12GA 1-5/8X13/16 10FT STL,19.12,FT
650,C14P-G PVC CTD SHALLOW PNCH STRUT STRUT GRY,48.22,FT
651,"B52SH-120GLV Strut, 13/16-IN. X 1 5/8-IN., 9/16-IN. X 1 1/8-IN. SLOTTED HOLES, 12 GA., 120-",41.69,FT
652,"A1200 10EG Strut - No Holes, Steel, Electroplated, 1-5/8"" x 1-5/8"" x 10'",23.41,FT
653,A1200HS-20PG HS STRUT 12GA 1-5/8X1-5/8 20FT PG,17.27,FT
654,H1200HS-10EG H SERIES STRUT WITH,67.84,FT
655,"B52-120 GRN Strut - No Holes, Steel, Green, 1-5/8"" x 13/16"" x 10'",41.32,FT
656,"B54SH-120SS6 Strut - Elongated Holes, Stainless Steel 306, 1-5/8"" x 13/16"" x 10'",252.64,FT
657,"B54-120 SS6 Strut - No Holes, Stainless Steel 316, 1-5/8"" x 13/16"" x 10'",243.78,FT
658,"B-LINE B11-120HDG Strut, 3 1/4-IN",183.78,FT
659,A1202HS-10 Strut (1 5/8 X 3 1/4),74.82,FT
660,"B-LINE B42-120HDG Strut, 1-IN. X",53.28,FT
661,"B22SH-120SS4 Strut w/ Slotted Holes, 1-5/8"" x 1-5/8"" x 10', Stainless Steel (304)",162.77,FT
662,"B54SH-120SS4 Strut - Elongated Holes, Stainless Steel (304), 1-5/8"" x 13/16"" x 10'",144.93,FT
663,"B11SH-120GLV Strut w/Slots, 1-5/8""W x 3-1/4""D x 10""L, Galvanized Steel",123.13,FT
664,"B22-120HDG Solid Strut, 1-5/8"" x 1-5/8"" x 10"", Hot Dip Galvanized",47.75,FT
665,"A1200-10PG Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",17.27,FT
666,"PS 210 EH 10' PGAL Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",35.77,FT
667,"B1400HS-10 Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 13/16"" x 10'",15.27,FT
668,"PS 400 EH 10' PGAL Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1"" x 10'",39.30,FT
669,"B54SH-120GRN Strut, 13/16-IN. X 1 5/8-IN., 9/16-IN. X 1 1/8-IN. SLOTTED HOLES, 14 GA., 120-",29.31,FT
670,"PS 200 S 10' PGAL Strut with 3"" Slots, Steel, Pre-Galv, 1-5/8"", 10'",14.43,FT
671,"PS 500 H 10' PGAL Strut - Bolt Holes, 1-7/8"" Centers, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",11.27,FT
672,"PS 200 2T3 10' ALUM Strut - Back To Back, Aluminum, 1-5/8"" x 3-1/4"" x 10'",102.14,FT
673,"PS 200 S 20' PGAL Strut w/ 3"" Slots, Steel, Pre-Galv, 1-5/8"" 20'",14.43,FT
674,"PS 210 EH 20' PGAL Strut, Metal, 14 Gauge, 1-5/8"" x 1-5/8"" x , 20', Slotted",35.77,FT
675,PS 210 H 10' PGAL Atkore PS-210-H-10-PG,38.90,FT
676,"B22-120AL Strut - No Holes, Aluminum, 1-5/8"" x 1-5/8"" x 10'",49.98,FT
677,"P1001-10HG STRUT,B2B,1-5/8inX3-1/4in,HDGF,10FT",29.25,FT
678,"P1001T20PG Strut - Back To Back, Steel, Pre-Galvanized, 2"" On Center, 20'",,
679,"P100110PG UNISTR P1001-10PG STRUT,B2B,1-5/8in",,
680,"P1000T10ST STRUT,1-5/8inSQ,316SS,TSLOT,10FT",,
681,"P5000T20PG STRUT,3-1/4inX1-5/8in,TSLOT,20ft,PG",,
682,"P1000T10PG UNISTR P1000T-10PG STRUT,TSLOT,1-5/",,
683,"UNISTR P4100T-20PG STRUT,13/16inX1-",,
684,"P1000T10HG Strut - Elongated Holes, Steel, Hot Dip Galvanized, 1-5/8"" x 1-5/8"" x 10'",,
685,S45810ST78 STAINLESS STEEL 1 5/8IN X 7/8IN 10FT SLOTTED STRU,,
686,A1200HS 6PG SS A1200HS-6PG HS STRUT 12GA 1-5/8X1,,
687,SP-A1202-10SS STAINLESS STEEL COMBO,,
688,"C14H1000S6 Strut, Half-Slot, 1-5/8"" W X 13/16"" H, 10 Ft *** Discontinued ***",,
689,PS 20E-2000 Power-Strut,,
690,A1400HSEG KIT 6 INCH LENGTH STRUT EG FINISH,,
691,D120020ZRP STANDARD StrutS,,
692,MB1200HS-10GR Strut 10' GREEN,,
693,A1200HS-6FT-2IN-PG HALF SLOT Strut,,
694,"ERC A12H2000GN STRUT,HALF SLOT,20FT",,
695,BLN B26SH-120GLV Strut 1 5/8-IN. *** Discontinued ***,,
696,"B26-240GLV Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 20' *** Discontinued ***",,
697,"B-LINE B56SH-120GLV Strut, 13/16-",,
698,PBP1000HS-10 1-5/8 Strut Drilled,,
699,"B22SHGALV10 Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",,
700,"ERC A12H1000PG STRUT,HALF SLOT,10 F",,
701,"A12H1000S4 Strut,half Slot,10ft,304s8 X 12ga X 10'stainless",,
702,"B56SHGRN10 B-line B56shgrn10 Strut, 13/16-in *** Discontinued ***",,
703,A1200P-10ALPVC A Strut PUNCHED ALUM PVC,,
704,A1400HS-7FT-6IN-PG 1/2 SLOT Strut,,
705,"CSS1510P Strut, No Holes, Fiberglass, 1-5/8"" x 1-5/8"" x 10', Polyester Resin",,
706,"PS 200 EH 2T3 10 SS Back-to-Back Strut, Elongated Holes, 304 SS, 1-5/8"" x 1-5/8"" x 10'",,
707,"B217-20GALV1 Snap Closure Strip for 1-5/8"" Wide Struts, Steel, 10'",,
708,"C14H1000PG Strut,half,slot,10ft,pre- X14ga X 10' Pg",,
709,A1200HS-6FT-10IN-P HALF SLOT Strut,,
710,A1400HS-7FT4INPG A1400 HALF SLOT 7FT 4 IN PRE GALV,,
711,A1200HS 5FT4IN PG PG Strut HS 5FT 4IN,,
712,A1400HS-7PG HALF SLOT Strut 84 INCH,,
713,"PS500-10-ZD 14 Gauge, Steel Strut",,
714,PS 200 2T3 10 GR PST PS2002T310GRNStrut,,
715,20P-2200-SST Heavy Duty Slotted Standard Profile Fiberglass,,
716,A1200HS-6FT-6IN-PG HALF SLOT Strut,,
717,BB PAE9939-7 BKB OH-AL-PARALLEL GRO,,
718,BB PAE9939-79 AL PARAGRV CLAMP W/CO,,
719,C12H2000GN P&S LSCL453PW LS INC/CFL/LED PREST,,
720,"B22D120GLV Strut, Back to Side, Steel, Hot-Dip Galvanized, 1-5/8"" Wide, 3-1/4"" Deep, 10' Long",,
721,PS20010ST STRUT 1-5/8IN SQ 316SS 10FT,,
722,"ERC A12AH200PG STRUT,WELD,HALF SLOT",,
723,"ERC A12AH200GN STRUT,WELD,HALF SLOT",,
724,"ERC A12H1000GN STRUT,HALF SLOT,10FT",,
725,A1200HS-10PVC PLASTIC COATED Strut,,
726,MB1200HS 10 Strut 10',,
727,BB PAE9939-9P PAE9939-9 TIN PLATED,,
728,"B-LINE B56S-120GRN Strut, 13/16-I *** Discontinued ***",,
729,BLI B22PLN10 ZINC NO HOLE,,
730,"PS400-10-GRN 12 Gauge, Steel Strut",,
731,"PS20020AL Strut, No Holes, Aluminum, 1-5/8"" x 1-5/8"" x 20'",,
732,"PS 500 EH 10? DF Strut - Elongated Holes, Steel, Defender, 1-5/8"" x 13/16"" x 10'",,
733,"P1000   10GR 1-5/8"" X 1-5/8"", 12 Gage Strut, Solid",,
734,"P1000   20PG STRUT,1-5/8inSQ,STEEL,PG,20FT",,
735,"P3300T  10PG Strut, 1-5/8"" X 1-5/8"", 12 Gauge, Slotted, Steel, Pre-Galvanized",,
736,"P5000   20PG 1-5/8"" X 3-1/4"", 12 Gage, Solid",,
737,LRD P4100T10SS,,
738,P5500T  10HG Atkore P5500T-10HG,,
739,"P1001   20GR Strut - Back To Back, Steel, Green, 1-5/8"" x 3-1/4"" x 20'",,
740,P4000   10PG 775052,,
741,"P3300   10PG 1-5/8"" X 7/8"", 12 Gage, Solid",,
742,P3301T10PG 10' Back-To-Back Strut,,
743,"P1000T-20-HG Strut - Elongated Holes, Steel, Hot Dip Galvanized, 1-5/8"" x 1-5/8"" x 20'",,
744,P3754HG Concrete Insert - Heavy Duty,,
745,"P3000   10PG 1-5/8"" X 1-3/8"", 12 Gage, Solid",,
746,"P3301T 10 ZD 10' Back-To-Back Strut, ZD",,
747,"P1001T10PG Slotted Strut, Back to Back, 3 1/4""Hx1 5/8""Wx10'L",,
748,"P100010HG Strut - No Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 1-5/8"" x 10'",,
749,P330010HG 775008,,
750,"P1001T10PG UNISTR P1001T-10PG STRUT,B2B,TSLT,1",,
751,"P1000T  10GR 1-5/8"" X 1-5/8"", 12 Gage; Slotted",,
752,"UNISTR P9200-10PG 1-7/8inSQTUBE,1/2",,
753,"P1000H3 10PG STRUT,1-5/8inSQ,3SIDEHOLE,PG,10FT",,
754,"P1000T  10PG Strut with Slots, 1-5/8"" x 1-5/8"", Steel, Pre-Galvanized, 10' Length",,
755,"P1001   20PG Strut, Back-to-Back, Solid, 1-5/8"" X 3-1/4"" x 20', Pre-Galvanized Steel",,
756,P1000   20GR 774835,,
757,"P4100T10PG UNISTR P4100T-10PG STRUT,13/16inX1-",,
758,"P4100T10PG Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",,
759,"P1000T20PG Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 20'",,
760,"P5000   10PG 1-5/8"" X 3-1/4"", 12 Gage, Solid",,
761,"P1000HS 10PG Strut with Half Slots, 1-5/8"" x 1-5/8"" x 10', Steel, Pre-Galvanized",,
762,P550010HG 775142,,
763,"P1000   10ZD 12 Gauge Solid Strut Strut, Gold, 10 Ft.",,
764,"P1000T10HG UNISTR P1000T-10HG STRUT,TSLOT,1-5/",,
765,P4000T10GR UNS P4000T-10GR,,
766,P100110SS UNISTRUT P1001-10-SS STRUT,,
767,"P1000   10PG Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",,
