,Description,Price,Unit
85,"PS 200 10 GRN Strut - No Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 10'",41.88,FT
86,B 907 10 HD STEEL Strut,11.00,FT
87,"A12H2000PG Strut,half Slot,20 Ft,prg8 X 12ga X 20' Pg",11.27,FT
88,"PS 500 10' GRN Strut - No Holes, Steel, Green, 1-5/8"" x 13/16"" x 10'",58.51,FT
89,"S65810ST58 Strut with Slots, Type 316 Stainless Steel, 1-5/8"" x 1-5/8"" x 10'",42.43,FT
90,PST 20P-2200 Slotted Heavy Duty Aickinstrut Profile,14.81,FT
91,"A12H1000S6 12 Gauge, Stainless Steel Strut *** Discontinued ***",72.67,EA
92,PS 200 H 10' ZD PS 200 H 10 ZD,44.90,FT
93,"B-907HS-10-EG 1 1/2 Strut, SILVERGALV FINISH",455.43,EA
94,PBP1000-2 ROB-R EMTELB1-1/2X45X18 1-1/2X45X18,47.05,FT
95,A1200KO-20 KNOCKOUT Strut,141.90,FT
96,A1200S-10INCHHDG A1200S 10 INCH LONG HOT DIPPED GALV,27.42,FT
97,A1200P3 20 SPECIAL PUNCHED STRUT,94.62,FT
98,E1200HS-20GR Strut,44.90,FT
99,A1400HS 20GR GREEN COATED Strut,45.78,FT
100,A1200 20AL STD Strut,74.82,FT
101,A1200P 20 PUNCHED Strut,123.78,FT
102,B1200S 20EG FULL SLOT SHALLOW STRUT SILVERGALV,75.03,FT
103,A1202 20 COMBINATION Strut,32.25,FT
104,E1200HS-20PG HALF SLOT Strut,111.19,FT
105,B1400S 20GR SLOTTED Strut,53.44,FT
106,B1400S-20EG 14 GAUGE FULL SLOT SILVERGALV STRUT,162.46,EA
107,A1400-20EG STD Strut,170.54,FT
108,A1200S 20GR SLOTTED Strut,"1,163.45",FT
109,"A1400HSGR-KIT 6IN LENGTH STRUT,GREEN FINISH",289.38,FT
110,H1200HS 20GR GRN SLOT STRUT,244.73,FT
111,H1202 10 COMBNATION Strut,550.39,FT
112,H1200HS 20HDG Strut HOT DIP GALV 20,133.29,FT
113,A1200HS-20WH Strut,383.37,FT
114,A1202HS10SS Strut (1 5/8 X 3.25),116.48,FT
115,B1400HS-10B Strut,11.33,EA
116,H1200P-10GR PUNCHED Strut,192.31,FT
117,H1200HS 20PG HALF SLOT Strut,186.91,FT
118,"H-120-HD 120 HD WASHER, SADDLE TYPE,H.D STL",51.27,FT
119,"B1202HS-20SS Strut,B1202,HALFSLOT,SS,BACK-BACK",177.49,FT
120,B1202 20PG COMBINATION Strut,32.25,FT
121,A1200KO-20EG Strut,72.25,FT
122,A1200S10BC STANDARD Strut 1 5/8 X 1 5/8 BARE,82.57,FT
123,B1400S 10EG SLOTTED Strut,"1,328.60",EA
124,A1400-10B Strut,67.84,FT
125,A1400 10GR GREEN COATED Strut,,
126,S251 12 SS S251-12 CANT BK-BK STRUT BRKT LEN,,
127,H1200HS 20EG H SERIES SUPERSTUT WITH EG FINISH,,
128,B1200P 20PG GALV HOLE STRUT,119.50,FT
129,B1202 20 COMBO Strut,112.76,FT
130,B1400-10T316SS  STRUT 14GA 1-5/8X13/16 10FT 316 SS,236.82,FT
131,E1202-10PG COMBNATION Strut,411.14,EA
132,B1202 10GR GRN BK/BK STRUT,315.34,EA
133,S251 36 SS S251-36 CANT BK-BK STRUT BRKT LEN,"2,171.96",EA
134,S251-24HDGC BRACKETS,"1,609.46",EA
135,E1200-10EG E SERIES SUPERSTRUT WITH EG FINISH,82.49,FT
136,E1200-20EG E SERIES SUPERSTRUT WITH EG FINISH,82.49,FT
137,A1400-10HDG  STRUT 14GA 1-5/8X1-5/8 10FT HDG STL,311.90,FT
138,A1200KO 10PG Strut,42.28,EA
139,B12-240GLV BLINE B12-240 GLV STRUT,82.18,FT
140,PS 200 H 10' ZD PS 200 H 10 ZD,42.43,FT
141,"B-907HS-10-EG 1 1/2 Strut, SILVERGALV FINISH",14.81,FT
142,B-905-M-10 Steel Strut,10.52,FT
143,"B11SH-240GLV Strut, 3 1/4-IN. X 1 5/8-IN., 9/16-IN. X 1 1/8-IN. SLOTTED HOLES, 12 GA., 240-",123.13,FT
144,B1200 10HDG SS B1200-10HDG STRUT 12GA 1-5/8X13/1,69.57,FT
145,"B1200 10EG Strut - No Holes, Steel, Electro-Galvanized, 1-5/8"" x 1-13/16"" x 10'",30.78,FT
146,B1200S-10PG SLTD STRUT 12GA 1-5/8X13/16 10FT PG,68.37,FT
147,A1202 10AL SS A1202-10AL STRUT BK-BK 12GA 1-5/8,207.94,FT
148,"B1200HS 10HDG Strut - Elongated Holes, Steel, Hot Dipped Galvanized",69.57,FT
149,B1400-20SS,112.94,FT
150,B1400S 10PG SS B1400S-10PG SLTD STRUT 14GA 1-5/8,37.10,FT
151,"B-LINE B24S-240GLV Strut, 1 5/8-I",28.20,FT
152,"B-LINE B12SH-240GRN Strut, 2 7/16",89.33,FT
153,"B-LINE B32A-120GLV Strut, 1 3/8-I",127.96,FT
154,A1200-20PG,21.59,FT
155,"A1200 20GR Strut - No Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 20'",28.41,FT
156,"BFP22SH-240 Strut - Elongated Holes, Fiberglass, 1-5/8"" x 1-5/8"" x 20'",173.10,FT
157,"B-LINE B54KO6-120GLV Strut, 13/16",66.66,FT
158,"B54-120 YZN B-LINE B54-120-YZN Strut, 13/16-I",31.85,FT
159,"B22-240AL Strut - No Holes, Aluminum, 1-5/8"" x 1-5/8"" x 20'",49.98,FT
160,B11-120GRN BLI B11GRN10 Strut 3 1/4-IN,127.27,FT
161,"A12HS-G Strut with Slots, PVC Coated Steel, 1-5/8"" x 7/8"" x 10'",67.43,FT
162,PS 150 EH 20' PGAL Ongated Holes On 2 In. Centers,68.18,FT
163,"B52-240 GLV Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 20'",39.19,FT
164,"B54-240 GLV Strut, 13/16-IN. X 1 5/8-IN., 14 GA., 240-IN. (20 FT), GALVANIZED",27.79,FT
165,PS 100 10' HDG Ps 100; 1 5/8 In. X 3 1/4 In. X 12 Ga. Strut,113.78,FT
166,"B54-120 GLV Strut, 13/16-IN. X 1 5/8-IN., 14 GA., 120-IN. (10 FT), GALVANIZED",27.79,FT
167,"A1200HS 20EG Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 1-5/8"" x 20'",23.41,FT
168,"A1200HS 10 Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 1-5/8"" x 10'",19.77,FT
169,"B22SH-240GRN Strut - Elongated Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 20'",33.05,FT
170,"B42-120SS6 Strut - No Holes, Stainless Steel 316, 1-5/8"" x 1"" x 10'",306.89,FT
